Accession	Sample1-rep1	Sample1-rep2	Sample1-rep3	Sample2-rep1	Sample2-rep2	Sample2-rep3	Ratio	Fold_Change	P-val
"B1AJZ9-3;B1AJZ9"	 623365.104969886 	 188748.114375079 	 199356.770418624 	 991762.946183547 	 720224.420420481 	 315990.084254216 	 0.498758006079177 	 -2.0049803468042 	 0.241859382851435 
B9A064	 948506.619029883 	 36559.6400125785 	 353651.602353427 	 683759.621040093 	 668972.959358402 	 15073.6341746694 	 0.97873357141724 	 -1.02172851652771 	 0.979061588782251 
"C9JH25;C9JH25-3"	 633782.554462363 	 506733.325016713 	 331574.723989536 	 631523.289762561 	 327439.990622816 	 681526.997995772 	 0.897347959246235 	 -1.11439491191354 	 0.712135805173312 
"C9JJH3;A6NCW0;C9J2P7;C9JPN9;D6R901;Q7RTZ2"	 937028.477769845 	 327805.349042424 	 748369.788267133 	 623572.308059653 	 127718.440580979 	 963501.781351215 	 1.17402168476263 	 1.17402168476263 	 0.759844807505721 
C9JQL5	 725430.117034563 	 917876.704218023 	 778687.630823508 	 531593.780982476 	 822950.282785862 	 863290.096541923 	 1.09205390349713 	 1.09205390349713 	 0.606784314899175 
E5RG02	 330562.522811016 	 423241.045666644 	 93336.7974165478 	 219901.935873994 	 981494.387152359 	 66942.8328020377 	 0.667913122449424 	 -1.49720070827883 	 0.677246087361961 
E7ETH6	 797524.890963961 	 647296.541377955 	 450526.874754814 	 502569.505414854 	 459393.893674727 	 868149.448880702 	 1.03564559376696 	 1.03564559376696 	 0.901312712764709 
O00148	 815091.84548927 	 342414.213599802 	 787814.291750037 	 721593.244989662 	 350768.305035573 	 184118.770106751 	 1.5482298605638 	 1.5482298605638 	 0.356970938139464 
"O00154-5;O00154"	 130151.019104913 	 583987.925091097 	 445507.496760307 	 533887.136074269 	 728376.941085124 	 814348.145313522 	 0.558431867253176 	 -1.79072875070475 	 0.139002424361923 
"O00159;O00159-2;O00159-3"	 114266.594780067 	 641429.34149045 	 677412.604940986 	 357155.599225949 	 205297.503096012 	 291053.779136814 	 1.67908258544102 	 1.67908258544102 	 0.400806524481069 
"O00160;Q12965"	 889176.732361642 	 946951.213584271 	 557810.787344248 	 584791.149441727 	 63785.2232249897 	 204583.341052447 	 2.80596785665642 	 2.80596785665642 	 0.0634125832186021 
O00217	 934833.022559547 	 937756.470972336 	 274238.251089555 	 248486.721687534 	 488729.682120837 	 899190.554325668 	 1.31191555618257 	 1.31191555618257 	 0.59104534671432 
"O00231;O00231-2"	 373986.745006479 	 216742.403505982 	 763354.87195982 	 73149.4381195221 	 280271.420434748 	 19219.2074660032 	 3.63375853523656 	 3.63375853523656 	 0.171185777636328 
O00232	 858001.603486136 	 747949.435314628 	 701470.990221228 	 19650.4445539104 	 272654.428912582 	 545518.059141006 	 2.75406883628831 	 2.75406883628831 	 0.0733343756063471 
O00257	 207870.531914068 	 767645.11443572 	 305588.09251069 	 931494.427833111 	 782699.831431009 	 771408.403345201 	 0.51540970651987 	 -1.94020405000162 	 0.136309303348031 
"O00267;O00267-2"	 396847.382913781 	 752769.435511549 	 667652.290539554 	 479562.621842081 	 35113.9485029746 	 390957.398364096 	 2.00662648680806 	 2.00662648680806 	 0.157824033251811 
O00299	 410108.748698554 	 55052.4364908364 	 71943.3147274095 	 871779.801600913 	 850231.989650075 	 867193.5345487 	 0.207439902337955 	 -4.82067330696498 	 0.0270860840016855 
O00303	 258112.872719142 	 249916.064148024 	 614918.737056168 	 344963.414606219 	 857713.98429948 	 646738.124778321 	 0.607190574288266 	 -1.6469293864981 	 0.277166715746588 
O00329	 73713.5124822362 	 193310.45177588 	 287016.476784393 	 938910.707386483 	 460238.185364814 	 514819.031097724 	 0.2894721662463 	 -3.45456356984989 	 0.0798118472272005 
"O00339-3;O00339"	 485138.652214983 	 831082.163220591 	 676937.489685287 	 995639.279166666 	 448806.050429852 	 528874.119050929 	 1.01005354530257 	 1.01005354530257 	 0.975276359961277 
O00400	 224784.851161872 	 783417.689292873 	 971425.773299308 	 317722.600853844 	 36468.6227878269 	 473677.049845781 	 2.39123587308731 	 2.39123587308731 	 0.228740107692954 
"O00410-3;O00410;O60518"	 296385.951973408 	 843424.176935196 	 824888.759766761 	 492034.81370762 	 23798.82057036 	 394483.215493072 	 2.15825829124166 	 2.15825829124166 	 0.203384571588427 
"O00429-4;O00429;O00429-2;O00429-3;O00429-5;O00429-6"	 159247.46122728 	 675442.182444329 	 943169.768555552 	 671763.247212361 	 460023.134786838 	 544115.250064045 	 1.06083756839499 	 1.06083756839499 	 0.898131280296737 
"O00442-2;O00442"	 194438.746371839 	 504457.748527299 	 116344.92040983 	 504157.5915601 	 577398.873071322 	 985987.379695309 	 0.394304293737694 	 -2.53611237788153 	 0.097897857732368 
O00469	 850981.637287471 	 699762.752214324 	 627793.608509875 	 812690.493116444 	 157477.378921686 	 245234.108839116 	 1.79244236251718 	 1.79244236251718 	 0.254385056820958 
"O00506;Q9Y6E0;Q9Y6E0-2"	 210279.706338652 	 598826.451886817 	 891222.350542791 	 473306.299630959 	 785903.377543498 	 611607.851379046 	 0.908869241824422 	 -1.10026828280892 	 0.811421042095162 
O00541	 122722.466855297 	 415493.76532058 	 496302.142781778 	 48214.7181883459 	 144565.765492526 	 27681.7084566273 	 4.69249790600122 	 4.69249790600122 	 0.12895943694765 
O00567	 858589.812569413 	 733272.172354284 	 16239.1697898185 	 146365.421296498 	 330209.967985721 	 635516.824201282 	 1.44601422005854 	 1.44601422005854 	 0.617446157013834 
"O00571;O00571-2;O15523;Q9NQI0;Q9NQI0-2"	 715442.882725703 	 768653.775703582 	 478886.913457522 	 124625.197083583 	 208690.190872657 	 864590.910586768 	 1.63867872994269 	 1.63867872994269 	 0.394458125947563 
O00629	 192122.4862179 	 507901.041109853 	 412305.091540241 	 11956.6255049925 	 916557.050028987 	 76498.3005611736 	 1.10678145666463 	 1.10678145666463 	 0.915982184906979 
"O00764;O00764-2"	 22023.5869764011 	 723432.292905008 	 361451.421719568 	 598191.216649936 	 630446.051749181 	 102046.043371251 	 0.831833759249843 	 -1.20216327947763 	 0.792721298467744 
O14558	 654253.278039309 	 874469.393213601 	 299671.608630296 	 824333.24797608 	 325435.969831214 	 577992.733777482 	 1.05824432480767 	 1.05824432480767 	 0.886787917422217 
"O14559-11;O14559"	 403693.642920915 	 551087.256514079 	 113797.266538528 	 727679.858510257 	 501325.679549536 	 542713.199184124 	 0.603130815016271 	 -1.65801510236718 	 0.204599410220221 
"O14576-2;O14576;O14576-3"	 184293.675659044 	 715735.478491864 	 412613.589780503 	 662724.91908938 	 18027.6301833484 	 569565.432475595 	 1.04984712936459 	 1.04984712936459 	 0.93883010679279 
"O14579-2;O14579"	 454976.52450662 	 158941.525853966 	 670690.424916192 	 230256.003520206 	 202167.362763141 	 635441.58195277 	 1.20296904341572 	 1.20296904341572 	 0.741103534116964 
"O14617;O14617-5"	 436250.026535202 	 719426.548895221 	 725926.915263825 	 546037.810213196 	 993887.675360262 	 258419.797198054 	 1.04629712031408 	 1.04629712031408 	 0.913791055632049 
O14653	 808517.930970296 	 729043.366856284 	 569726.705837312 	 122350.071834881 	 419230.659350202 	 394902.357243078 	 2.25021469122402 	 2.25021469122402 	 0.0338807509624302 
O14735	 42395.112736645 	 431950.118027252 	 12701.18180658 	 602622.592427714 	 605329.923049527 	 298732.972639369 	 0.323256855137893 	 -3.09351521585962 	 0.120169487164071 
O14744	 899813.590042377 	 589713.836285866 	 509609.486162371 	 376159.121226449 	 844248.917912071 	 563843.415302178 	 1.1204345147177 	 1.1204345147177 	 0.712402141438513 
"O14773;O14773-2"	 574048.356854913 	 269320.336820168 	 82946.5873063925 	 234555.885767628 	 408125.08979691 	 510616.832423765 	 0.80318827848745 	 -1.24503808980278 	 0.674993368637822 
"O14818;O14818-2;Q8TAA3;Q8TAA3-5"	 434604.678275605 	 582991.729769044 	 550385.151599055 	 553093.096357158 	 549457.245479882 	 332497.740342397 	 1.09263346581557 	 1.09263346581557 	 0.637557605112101 
O14880	 999652.285877165 	 359092.340428875 	 741092.553675789 	 658960.403884614 	 194064.429314372 	 720996.066385858 	 1.33405927490269 	 1.33405927490269 	 0.521596016437587 
O14917	 623217.382018847 	 811431.18200724 	 26033.5248556651 	 52821.9582227851 	 418486.539835304 	 849259.004092806 	 1.10610179828191 	 1.10610179828191 	 0.894359575472463 
O14948-4	 744624.47736989 	 407365.350479186 	 446300.938806752 	 354988.753833222 	 667548.479786019 	 69588.711690907 	 1.46346744486684 	 1.46346744486684 	 0.461083852361578 
O14964	 667364.187310539 	 871471.372434627 	 864935.076881319 	 212283.786888536 	 394972.68364682 	 664715.415706525 	 1.88979855814941 	 1.88979855814941 	 0.084113969345763 
"O14974;O14974-4"	 531138.772877324 	 834069.246869414 	 674826.545797789 	 996837.298339615 	 872839.918426877 	 533187.333127642 	 0.849001066512221 	 -1.17785482191218 	 0.508520225405384 
O14980	 6067.51753864554 	 701432.776290964 	 79545.18568514 	 893968.725212082 	 534064.40279409 	 368596.857204938 	 0.438067652211798 	 -2.28275243549943 	 0.287213605914989 
"O14983;O14983-2"	 170385.474220593 	 72301.5241085297 	 941840.84268915 	 650095.50399438 	 759881.146255518 	 829304.021056768 	 0.528976941656481 	 -1.89044156985089 	 0.328573482420344 
"O15042;O15042-2"	 637780.030744953 	 182265.196357631 	 769307.576028757 	 507731.611397407 	 478665.608180163 	 116955.622138124 	 1.44047556052869 	 1.44047556052869 	 0.502589117315839 
O15061	 541380.929578586 	 905914.824364063 	 93520.1663407567 	 364569.172434627 	 19220.9454294308 	 625746.960329006 	 1.52625986064946 	 1.52625986064946 	 0.581038361656434 
O15067	 479269.405766418 	 241316.643650739 	 425176.685728652 	 591547.188065074 	 15619.8795045903 	 855361.916235422 	 0.783411985562747 	 -1.27646757827131 	 0.717075107440119 
"O15126;O15126-2"	 716867.682710026 	 23669.3889593605 	 886690.175792443 	 880073.204028423 	 467992.706033444 	 342207.329501761 	 0.962700709786972 	 -1.03874442994987 	 0.949816264806659 
O15127	 400837.298078069 	 516359.462666997 	 954299.997731685 	 540900.037809233 	 938566.956507077 	 203371.833325789 	 1.11210695150111 	 1.11210695150111 	 0.828577799432739 
"O15131;O60684;P52294"	 426448.928249468 	 26610.4436086185 	 813148.1316919 	 829821.388137447 	 819002.692086372 	 217112.085038486 	 0.678591008161305 	 -1.47364168987381 	 0.54742576240465 
O15143	 448835.554687341 	 834831.288948399 	 446165.78793276 	 347091.141939705 	 305361.603266222 	 175343.974450378 	 2.08968287804609 	 2.08968287804609 	 0.132112011942379 
O15144	 731578.360170038 	 148280.985976284 	 674334.576250793 	 771520.467388261 	 307958.827664557 	 432662.945467578 	 1.02780934276543 	 1.02780934276543 	 0.95486541651987 
O15145	 325411.949965611 	 707307.640846187 	 949863.35160998 	 319222.51780558 	 854747.208496298 	 530749.241623494 	 1.16299693950996 	 1.16299693950996 	 0.718914667415482 
O15162	 849100.140723822 	 584900.615783048 	 319233.590207149 	 754945.577174325 	 512913.266265138 	 142610.940027414 	 1.24301446742421 	 1.24301446742421 	 0.652454996587249 
O15230	 523072.400925451 	 207112.850399008 	 654778.144146769 	 221795.356593244 	 495428.836253511 	 209859.428178899 	 1.49389263714854 	 1.49389263714854 	 0.405932373408081 
O15258	 624954.234871341 	 398237.419422164 	 884199.318722173 	 456643.316126358 	 336099.529768449 	 112659.12357874 	 2.10667862156821 	 2.10667862156821 	 0.132668253629352 
"O15260;O15260-2"	 389944.449436106 	 928474.023927423 	 461244.666943837 	 164056.480298407 	 113001.430221459 	 557674.077275454 	 2.13201742155321 	 2.13201742155321 	 0.227186310167577 
O15355	 685019.461676243 	 437014.54692383 	 956300.126139969 	 35329.7827839515 	 737718.686956943 	 769056.961498729 	 1.34772505993275 	 1.34772505993275 	 0.567509802727566 
O15372	 744181.616073173 	 164448.226679363 	 870511.27668441 	 225392.200324741 	 55013.1339065301 	 617343.431120239 	 1.98178063630121 	 1.98178063630121 	 0.347474170133765 
"O15397;O15397-2"	 43312.5141856325 	 98689.1983275735 	 491567.957060579 	 172951.886085487 	 142024.316274473 	 499274.594531714 	 0.778101381039328 	 -1.28517957218413 	 0.757448503809039 
O15399	 108294.924723882 	 276625.577223747 	 606851.923572196 	 958474.322941437 	 503935.291586068 	 754499.647597439 	 0.447367171252284 	 -2.23530036234167 	 0.107381118514808 
O15427	 360389.069237371 	 812005.113038945 	 140221.261459935 	 661760.46018251 	 742101.621608662 	 144541.714149857 	 0.84772166483777 	 -1.1796324683897 	 0.787248205279471 
O15439	 612679.116568551 	 985803.044056328 	 381564.58589887 	 852307.871953132 	 280438.173211698 	 781383.20427517 	 1.03443732814962 	 1.03443732814962 	 0.934644799055662 
"O15460;O15460-2"	 251950.236826722 	 634571.374847658 	 299973.668874325 	 357023.318852472 	 713132.228365367 	 35411.5491907107 	 1.07320060845068 	 1.07320060845068 	 0.913278698067398 
O15498	 396189.033799013 	 502153.929413411 	 809389.352670142 	 66052.650940245 	 405334.069688376 	 234787.279083148 	 2.41828829237496 	 2.41828829237496 	 0.105739997221863 
O43143	 29153.394985031 	 259687.816152786 	 126289.439744646 	 576612.635178147 	 721860.878508492 	 401016.433454925 	 0.244267788450698 	 -4.09386766197311 	 0.0237629203792773 
O43150	 25489.7899538061 	 13179.3750558252 	 850917.515575265 	 442766.999723285 	 718013.054415196 	 49406.5507692172 	 0.735082240191169 	 -1.36039200149896 	 0.769669471526388 
O43175	 934296.9046773 	 625977.965279338 	 129656.529993335 	 723531.487145519 	 417710.663350692 	 432253.144144769 	 1.073998381632 	 1.073998381632 	 0.889535264882145 
O43237	 899488.642533152 	 850963.283071564 	 276934.208587947 	 490922.413855958 	 436682.154285318 	 111037.43755882 	 1.95195854112034 	 1.95195854112034 	 0.244545680535012 
O43242	 397362.824273949 	 891521.0311866 	 668743.387486402 	 138413.023241927 	 805058.021863731 	 597092.228437911 	 1.27072173961674 	 1.27072173961674 	 0.601069793046185 
O43294	 905046.756951485 	 284852.246811101 	 475686.181192754 	 950265.081902051 	 248774.56140072 	 305033.144683872 	 1.10738336486022 	 1.10738336486022 	 0.862247989820691 
"O43303;O43303-2"	 330483.440336379 	 798725.134092825 	 337900.181362744 	 944625.852658385 	 407363.137012226 	 113002.690455683 	 1.00144511105037 	 1.00144511105037 	 0.99818549710392 
"O43390;O43390-2"	 814926.757625045 	 129771.469526274 	 155761.130400161 	 655191.11571932 	 599093.329670995 	 864252.043849902 	 0.519443192572125 	 -1.92513832946449 	 0.266027457571866 
O43396	 721349.837686719 	 709334.202655456 	 462747.120322932 	 36610.8374948937 	 997546.126832596 	 221755.026768221 	 1.50761452561114 	 1.50761452561114 	 0.550484172932632 
"O43399-4;O43399-5"	 574052.668584871 	 906448.500004377 	 615023.924764218 	 133663.957175588 	 742941.326612585 	 993084.890208564 	 1.12078734888678 	 1.12078734888678 	 0.804749762736766 
"O43414;O43414-3"	 141370.593520277 	 921334.762942713 	 681051.296933946 	 723693.933941141 	 976089.934613299 	 659668.41382204 	 0.739051459705977 	 -1.35308575183362 	 0.478350949310036 
"O43432;O43432-3"	 289163.617785642 	 171696.742455307 	 260165.079357509 	 555905.696656241 	 332357.222539412 	 8373.82498814876 	 0.804144425572028 	 -1.24355770953539 	 0.750858330285103 
"O43488;Q8NHP1"	 340697.03621619 	 858898.594588692 	 734286.469874607 	 737147.14596415 	 269303.551856113 	 202746.368832639 	 1.59931094278333 	 1.59931094278333 	 0.352180658627431 
"O43491;Q9H4G0;Q9H4G0-4"	 649838.250177479 	 47531.3504581502 	 456105.129587273 	 213612.55727374 	 144942.567876906 	 53139.0561662296 	 2.80177564456537 	 2.80177564456537 	 0.296410493868992 
O43493-4	 82667.8461059004 	 897339.433245376 	 113618.91229956 	 802005.52977057 	 252793.691990705 	 159998.378566465 	 0.900253829408114 	 -1.11079782982702 	 0.909854933531072 
O43592	 440427.738067527 	 33018.9685560862 	 370192.318393937 	 746714.083693876 	 954653.288673406 	 518372.536461912 	 0.380062106223305 	 -2.63114891915178 	 0.0615255358865691 
O43615	 952659.369863935 	 942550.703084608 	 573609.212406283 	 978559.854750242 	 437343.250176198 	 530038.80028038 	 1.26870143386549 	 1.26870143386549 	 0.453783924757997 
O43681	 964315.758464043 	 781360.445710515 	 628018.625757741 	 419685.104922838 	 587698.595798151 	 447508.562554434 	 1.63152618915463 	 1.63152618915463 	 0.0676125398727052 
O43684-2	 964838.347100814 	 731231.521122489 	 53262.1610719128 	 363179.829481938 	 532617.415075396 	 851023.475175411 	 1.00143764585232 	 1.00143764585232 	 0.998004460770794 
O43707	 60485.6071464051 	 257392.13322256 	 559622.392400519 	 439486.538608333 	 355466.43496843 	 69875.1657991252 	 1.01465261456772 	 1.01465261456772 	 0.982782531663557 
O43776	 112508.13217834 	 374665.034083563 	 325549.836972534 	 33660.4232771749 	 429534.701331852 	 453941.492723092 	 0.886152605702938 	 -1.12847380187609 	 0.838991658991555 
"O43790;P78385;P78386;Q14533"	 63232.3391152939 	 159931.542984635 	 127365.264681885 	 104804.044636403 	 512392.158554048 	 720633.187923911 	 0.262013339750173 	 -3.81659957066877 	 0.208096156507304 
"O43795;O43795-2;Q8WXR4-5"	 783619.015403925 	 994764.422829764 	 394851.866048214 	 936577.591217919 	 776933.397726537 	 921011.845550899 	 0.824906611484424 	 -1.21225843759513 	 0.477882262412221 
O43809	 384203.926588988 	 960212.662418328 	 924142.482530502 	 821976.741601439 	 982843.998013565 	 600748.145839309 	 0.943044734763179 	 -1.06039508322065 	 0.845603181001922 
"O43837;O43837-2;O43837-3"	 864364.72231144 	 355063.586074237 	 90044.9519951407 	 578408.617481991 	 966829.03215781 	 162408.870499165 	 0.766829226621359 	 -1.30407131768567 	 0.703842955854697 
"O43852-3;O43852-4"	 309853.031095737 	 338789.970928548 	 713875.985448425 	 610575.924629765 	 161125.485960426 	 877410.919727743 	 0.826213571036746 	 -1.2103408066091 	 0.721373532844378 
"O43865-2;O43865;Q96HN2-2;Q96HN2-3"	 492116.660593943 	 487606.589139853 	 588627.702347938 	 45971.5886356968 	 893450.466842725 	 276734.466996135 	 1.28959630039278 	 1.28959630039278 	 0.689243684418894 
O43866	 80884.7561861167 	 980623.766650988 	 839093.761110925 	 973185.968431091 	 196823.416853512 	 901902.330263605 	 0.917318179961711 	 -1.09013428692947 	 0.88595329798619 
O43896	 620304.600431318 	 157229.364439754 	 118676.211140251 	 297006.187683492 	 926747.317245253 	 399880.547100725 	 0.551977937941803 	 -1.81166661067789 	 0.393951806811937 
O43920	 213149.391164433 	 17457.4234712067 	 972432.840580927 	 22721.463735328 	 940200.701504385 	 575706.036451545 	 0.781891072771308 	 -1.27895052754041 	 0.791135781655238 
"O60271-4;O60271-9"	 543225.435673503 	 220345.270016815 	 18087.0209167684 	 349944.667027154 	 267645.032326326 	 45810.7450658547 	 1.17825927489581 	 1.17825927489581 	 0.837788345385268 
O60486	 804429.3422466 	 215397.492812241 	 707879.98530941 	 63854.8748819079 	 40720.0104019051 	 119529.926118945 	 7.70936960056266 	 7.70936960056266 	 0.108541044930863 
"O60488;O60488-2;O95573"	 402621.179051144 	 287135.693100813 	 560068.645262946 	 688097.43161096 	 279071.629060694 	 915935.248594788 	 0.663704878834762 	 -1.50669376087103 	 0.381283886674584 
O60494	 726785.656002826 	 568341.15496134 	 190404.04989398 	 452591.055234008 	 665508.717129757 	 191190.11065314 	 1.13460806512546 	 1.13460806512546 	 0.793888349316047 
"O60506-2;O60506-4"	 720130.700074274 	 293862.305808736 	 230429.603895849 	 873280.072194659 	 537482.970660493 	 895290.586819689 	 0.539632987613703 	 -1.85311132372036 	 0.145269335305661 
"O60566-3;O60566-2"	 569256.253676099 	 326890.096120115 	 551894.71765508 	 828188.553951179 	 562311.433612576 	 932520.891883333 	 0.623343974332227 	 -1.60425068850834 	 0.104462246547247 
O60568	 598710.521423519 	 92401.2673719244 	 841756.060496442 	 984452.819848515 	 484785.445503694 	 617782.116667797 	 0.734476703005765 	 -1.361513572735 	 0.531336636733056 
O60610	 772859.655768428 	 292434.635484144 	 887750.565737281 	 524994.060516325 	 180646.730612535 	 984018.353052125 	 1.15588097381412 	 1.15588097381412 	 0.782064860204278 
O60662	 802315.972332549 	 184559.195002626 	 863488.314529127 	 358892.475261992 	 467792.893948546 	 594030.815000165 	 1.30241599443192 	 1.30241599443192 	 0.583546526742901 
O60664	 427713.764045245 	 359021.000502605 	 792482.904689965 	 337315.079819198 	 326550.426576553 	 194924.08865836 	 1.83888775356938 	 1.83888775356938 	 0.209315912952528 
O60701	 262077.862786139 	 754997.07754065 	 906121.258585508 	 989500.279813076 	 345774.065447238 	 70178.6780423017 	 1.36838170114933 	 1.36838170114933 	 0.635973058019607 
"O60749;Q13596;Q13596-2"	 65367.6466495193 	 236733.468765093 	 228016.724255809 	 212913.310237928 	 813371.684180575 	 359674.916817975 	 0.382491467013269 	 -2.61443740904502 	 0.251091199552756 
O60762	 920421.119866548 	 164341.631839933 	 655406.512393594 	 18214.8880128034 	 339531.340080193 	 237848.560921281 	 2.92173352789082 	 2.92173352789082 	 0.220990849036887 
"O60763;O60763-2"	 935978.207267467 	 327621.421734629 	 967512.491770249 	 18880.1639929991 	 705771.975991055 	 921119.355719947 	 1.35566336310738 	 1.35566336310738 	 0.60142663133889 
"O60784-2;O60784"	 508495.952476463 	 463880.756062194 	 159815.118250468 	 655111.768872127 	 774827.392038334 	 756702.683226043 	 0.517776530173474 	 -1.93133512572492 	 0.0723199654104981 
O60938	 160831.945912225 	 561609.185365344 	 573272.9213444 	 512685.435028918 	 945045.408355277 	 882785.654953885 	 0.553601759928636 	 -1.80635263899614 	 0.142774406325089 
O75031	 809636.404448036 	 271717.008610981 	 300513.486582604 	 545229.025408161 	 124312.109738811 	 972766.08639225 	 0.841418025518083 	 -1.18846990398652 	 0.78869109741758 
O75038-2	 922213.620550677 	 494067.398433224 	 850243.854048507 	 119855.655645985 	 523086.334195837 	 172110.476724984 	 2.78083309480621 	 2.78083309480621 	 0.0576049771789508 
O75083	 397852.011057748 	 524530.899726064 	 320786.83205761 	 478324.176877106 	 23349.7933636281 	 945963.519872989 	 0.85875763188736 	 -1.16447291164356 	 0.824199779706439 
"O75112-2;O75112-7"	 960522.710919582 	 437513.774393068 	 49718.5978209395 	 314098.393220893 	 83583.127179808 	 43151.2986242613 	 3.28413634523797 	 3.28413634523797 	 0.33125395388581 
O75165	 859165.356068169 	 107325.678953928 	 507053.843264398 	 804082.269661849 	 502873.190384996 	 791335.9861758 	 0.702259393440877 	 -1.42397525663598 	 0.451121650349475 
O75223	 656085.629770026 	 225144.794272687 	 403199.276552293 	 279321.175431871 	 439769.834575698 	 370432.727854021 	 1.17889097406538 	 1.17889097406538 	 0.66503869097723 
"O75298;O75298-2"	 216641.763250049 	 953696.091689302 	 426739.477448263 	 349857.530747275 	 766323.418089695 	 903747.429596874 	 0.790660376595091 	 -1.26476554232604 	 0.637456692794514 
O75323	 80939.8125445923 	 747266.319830874 	 574727.723870247 	 788357.135598739 	 656761.326083105 	 279804.143426967 	 0.813331480549073 	 -1.22951099756388 	 0.692600775329227 
"O75344-2;O75344"	 990173.659631211 	 277139.826405415 	 465908.316596418 	 198522.197035076 	 274530.299278101 	 522537.111456215 	 1.74089985382261 	 1.74089985382261 	 0.376480741360804 
O75352	 588655.492361618 	 310194.975369371 	 604334.935541727 	 863287.130166753 	 586180.096668111 	 502099.653739769 	 0.770245395243696 	 -1.2982875407955 	 0.36193445406944 
O75360	 288091.968374721 	 810908.583377738 	 343399.219486303 	 407535.445261463 	 332325.013232856 	 350049.943668841 	 1.32341132663383 	 1.32341132663383 	 0.55307293239018 
"O75367;O75367-2;O75367-3"	 649504.198604098 	 416357.25031207 	 862799.832798512 	 187214.056254028 	 10853.8952155707 	 848914.587398321 	 1.84211408511177 	 1.84211408511177 	 0.380429032116823 
"O75369-9;O75369;O75369-2;O75369-8"	 579447.54447937 	 160732.007446829 	 784174.512274216 	 866679.872746036 	 971212.904021403 	 677340.428933562 	 0.606048799270513 	 -1.65003214461224 	 0.206707829262298 
O75390	 719371.618040528 	 651529.137531504 	 258013.078175882 	 405829.592835172 	 690156.638168709 	 506130.440996386 	 1.01672609880165 	 1.01672609880165 	 0.960309988641585 
O75396	 454130.6631243 	 559371.300700544 	 376557.771259202 	 905315.749211067 	 822917.141034581 	 881364.668922801 	 0.53267207052684 	 -1.87732763801742 	 0.00742849038930533 
O75420	 750500.242928315 	 556979.970944855 	 228664.519356166 	 406431.615764726 	 397507.883847446 	 796579.563166833 	 0.959779092266546 	 -1.04190642206893 	 0.920328113098631 
"O75448-2;O75448"	 279384.256818013 	 408119.816835445 	 795815.981250634 	 287425.839151123 	 634756.733145668 	 447898.461319554 	 1.08265133120546 	 1.08265133120546 	 0.849727055237874 
O75475	 576614.691589284 	 519372.385079407 	 312332.179746896 	 384910.53964711 	 539463.302919904 	 935933.513139854 	 0.757035794163412 	 -1.32094150330776 	 0.471770105129208 
O75487	 139231.736799487 	 261859.578180606 	 826541.730196356 	 909169.039688726 	 686966.455439151 	 254610.000411581 	 0.663318132144699 	 -1.50757223651751 	 0.508086766560532 
O75489	 647183.216966521 	 703096.023804149 	 565651.998563129 	 647928.223648928 	 497130.92817318 	 500497.567894302 	 1.1643058038522 	 1.1643058038522 	 0.233487478035632 
O75533	 130327.387671045 	 579891.590465903 	 436761.217167348 	 382766.727184561 	 765086.829337166 	 764346.420448295 	 0.599822303691136 	 -1.66716041375301 	 0.237677968177954 
"O75534;O75534-2"	 442106.094089202 	 904344.100812376 	 825994.294147215 	 936473.100837225 	 279699.211860674 	 206972.557272507 	 1.5265097284818 	 1.5265097284818 	 0.420791467129339 
